source,leads,sample,with_phone,with_email,contactable,contactable_pct,with_website,with_instagram,with_name,with_coords,duplicate_phones,newest,oldest
osm,2060,100,1407,308,1465,71.1,834,32,2058,2060,5,2026-08-03T03:02:16.549+00:00,2026-08-01T04:30:55.008+00:00
craigslist,271,100,255,37,271,100,271,0,271,271,20,2026-08-04T15:10:09.776+00:00,2026-08-01T15:22:38.673+00:00
yellowpages_apify,159,100,159,23,159,100,159,0,159,0,18,2026-08-05T17:02:23.814+00:00,2026-08-05T16:46:52.554+00:00
yelp,15796,100,15547,0,15547,98.4,0,0,15796,15796,261,2026-08-02T00:00:11.842+00:00,2026-08-01T15:13:49.037+00:00
google_lsa,1387,100,1387,0,1387,100,1173,0,1387,1116,213,2026-08-08T00:16:47.161+00:00,2026-08-01T15:46:18.468+00:00
google_sponsored,34,34,34,0,34,100,34,0,34,0,0,2026-08-01T18:46:04.616+00:00,2026-08-01T15:31:26.88+00:00
gmaps_apify,2172,100,2172,0,2172,100,1613,0,2172,2172,83,2026-08-04T15:10:33.638+00:00,2026-08-01T15:21:57.146+00:00
ig_services,276,100,132,99,167,60.5,218,276,276,0,11,2026-08-05T19:31:01.23+00:00,2026-08-01T15:23:47.839+00:00
